University of Waterloo;1999;win;
Albert-Ludwigs-Universität Freiburg;1999;gold;
St. Petersburg Institute of Fine Mechanics & Optics;1999;gold;
POLITEHNICA University of Bucharest;1999;silver;
Duke University;1999;silver;
California Polytechnic State University;1999;silver;
University of California at Berkeley;1999;bronze;
Harvard University;1999;bronze;
St. Petersburg State University;1999;bronze;
National Taiwan University;1999;bronze;
St. Petersburg State University;2000;win;
University of Melbourne;2000;gold;
University of Waterloo;2000;gold;
Ulm University;2000;silver;
St. Petersburg Institute of Fine Mechanics & Optics;2000;silver;
Tsinghua University;2000;silver;
California Institute of Technology;2000;bronze;
Charles University in Prague;2000;bronze;
Kyoto University;2000;bronze;
Shanghai Jiao Tong University;2000;bronze;
University of Alberta;2000;bronze;
St. Petersburg State University;2001;win;
Virginia Tech;2001;gold;
St. Petersburg Institute of Fine Mechanics & Optics;2001;gold;
University of Waterloo;2001;gold;
Ulm University;2001;silver;
University of Warsaw;2001;silver;
Massachusetts Institute of Technology ;2001;silver;
Seoul National University;2001;silver;
Sharif University of Technology;2001;silver;
Harvard University;2001;silver;
Tsinghua University;2001;silver;
Umeå University;2001;silver;
University of New South Wales;2001;silver;
Charles University in Prague;2001;bronze;
Duke University;2001;bronze;
KAIST;2001;bronze;
Kyoto University;2001;bronze;
Moscow State University;2001;bronze;
National Taiwan University;2001;bronze;
Shanghai Jiao Tong University;2001;bronze;
Stanford University;2001;bronze;
Universidade de São Paulo;2001;bronze;
University of Alberta;2001;bronze;
University of Central Florida;2001;bronze;
University of Sydney;2001;bronze;
University of Toronto;2001;bronze;
Ural State University;2001;bronze;
Zhongshan (Sun Yat-sen) University;2001;bronze;
Shanghai Jiao Tong University;2002;win;
Massachusetts Institute of Technology;2002;gold;
University of Waterloo;2002;gold;
Tsinghua University;2002;silver;
Stanford University;2002;silver;
Saratov State University;2002;silver;
Fudan University;2002;bronze;
Duke University;2002;bronze;
Moscow State University;2002;bronze;
Universidad de Buenos Aires;2002;bronze;
University of Warsaw;2003;win;
Moscow State University;2003;gold;
St. Petersburg Institute of Fine Mechanics & Optics;2003;gold;
Comenius University;2003;gold;
Tsinghua University;2003;silver;
Shanghai Jiao Tong University;2003;silver;
Saratov State University;2003;silver;
Zhongshan (Sun Yat-sen) University;2003;silver;
Taras Shevchenko Kiev National University;2003;bronze;
Ulm University;2003;bronze;
The University of Tokyo;2003;bronze;
Universidad de Buenos Aires;2003;bronze;
St. Petersburg Institute of Fine Mechanics & Optics;2004;win;
KTH - Royal Institute of Technology;2004;gold;
Belarusian State University;2004;gold; 
Perm State University;2004;gold; 
Massachusetts Institute of Technology;2004;silver; 
National Taiwan University;2004;silver; 
California Institute of Technology;2004;silver; 
Izhevsk State Technical University;2004;silver; 
Harvard University;2004;bronze; 
University of Warsaw;2004;bronze; 
Zhongshan (Sun Yat-sen) University;2004;bronze; 
Queen's University;2004;bronze; 
Shanghai Jiao Tong University;2005;win;
Moscow State University;2005;gold;
St. Petersburg Institute of Fine Mechanics & Optics;2005;gold;
University of Waterloo;2005;gold;
University of Wroclaw;2005;silver;
Fudan University;2005;silver;
KTH - Royal Institute of Technology;2005;silver;
Norwegian University of Science & Technology;2005;silver;
Izhevsk State Technical University;2005;bronze;
POLITEHNICA University of Bucharest;2005;bronze;
Peking University;2005;bronze;
University of Hong Kong;2005;bronze;
Saratov State University;2006;win;
Jagiellonian University in Krakow;2006;gold;
Altai State Technical University;2006;gold;
University of Twente;2006;gold;
Shanghai Jiao Tong University;2006;silver;
St. Petersburg State University;2006;silver;
University of Warsaw;2006;silver;
Massachusetts Institute of Technology;2006;silver;
Moscow State University;2006;bronze;
Ufa State Aviation Technical University;2006;bronze;
University of Alberta;2006;bronze;
University of Waterloo;2006;bronze;
University of Warsaw;2007;win;
Tsinghua University;2007;gold;
St. Petersburg National Research University of IT, Mechanics and Optics;2007;gold;
Massachusetts Institute of Technology;2007;gold;
Novosibirsk State University;2007;silver;
